nctId,status,enrollment,enrollment_type,last_update_year,extracted_score,Type_I,Type_II,Type_III,Type_IV,Type_V,Type_VI,facility,city,state,zip,latitude,longitude,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Black_or_African_American,Race_White,Race_More_than_one_race,Race_Unknown_or_Not_Reported,search_query,place_name,phase,central_contacts,overall_officials
NCT00947219,COMPLETED,79.0,ACTUAL,2013,I-IV,1,1,1,1,0,0,"Zoe Draelos, M.D.",High Point,North Carolina,27262,35.9889884,-80.02543330000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zoe Draelos, M.D., High Point, North Carolina 27262",Draelos Zoe Diana MD,NA,[],"[{'name': 'Zoe Draelos, MD', 'affiliation': 'High Point, NC', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'David Goldberg, M.D.', 'affiliation': 'Skin & Laser', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Abe Marcadis, M.D.', 'affiliation': 'Palm Beach Research', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT06420804,COMPLETED,50.0,ACTUAL,2024,All,1,1,1,1,1,1,ZIIP Beauty,Pleasant Hill,California,94523,37.7910355,-122.3933911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ZIIP Beauty, Pleasant Hill, California 94523",ziip beauty,NA,[],"[{'name': 'Zoe D Draelos, MD', 'affiliation': 'Lead Investigator', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT06477172,RECRUITING,500.0,ESTIMATED,2025,All,1,1,1,1,1,1,Ziering Medical,West Hollywood,California,90069,34.0910841,-118.3926678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ziering Medical, West Hollywood, California 90069",Ziering Medical Hair Restoration Beverly Hills,N/A,"[{'name': 'Lisa Campbell, PhD', 'role': 'CONTACT', 'phone': '858-997-7447', 'email': 'lisa.campbell@acorn.me'}]","[{'name': 'Drew Taylor, PhD', 'affiliation': 'Acorn Biolabs', 'role': 'STUDY_CHAIR'}]"
NCT03415685,TERMINATED,39.0,ACTUAL,2023,I-VI,1,1,1,1,1,1,Zena Medical,Newport Beach,California,92660,33.6126273,-117.8723712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zena Medical, Newport Beach, California 92660",ZENA Medical,NA,[],"[{'name': 'Kari Larson, MBA', 'affiliation': 'Sponsor GmbH', 'role': 'STUDY_DIRECTOR'}]"
NCT01491620,COMPLETED,24.0,ACTUAL,2022,I-III,1,1,1,0,0,0,Zel Skin and Laser Specialists,Edina,Minnesota,55424,44.9128264,-93.3320447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zel Skin and Laser Specialists, Edina, Minnesota 55424",Schweiger Dermatology Group - Edina,NA,[],[]
NCT01176448,COMPLETED,6.0,ACTUAL,2019,I-III,1,1,1,0,0,0,Zel Skin and Laser,Edina,Minnesota,55424,44.9128264,-93.3320447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zel Skin and Laser, Edina, Minnesota 55424",Schweiger Dermatology Group - Edina,NA,[],"[{'name': 'John J Christophel, MD', 'affiliation': 'University of Minnesota', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT02468453,UNKNOWN,60.0,ESTIMATED,2018,I-VI,1,1,1,1,1,1,Zel Skin & Laser Specialists,Edina,Minnesota,55424,44.9128264,-93.3320447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zel Skin & Laser Specialists, Edina, Minnesota 55424",Schweiger Dermatology Group - Edina,NA,"[{'name': 'Shlomit Mann, MSc', 'role': 'CONTACT', 'phone': '+972732442347', 'email': 'shlomitm@syneron-candela.com'}]","[{'name': 'Shlomit Mann, MSc', 'affiliation': 'Syneron Medical', 'role': 'STUDY_DIRECTOR'}]"
NCT02700152,UNKNOWN,60.0,ESTIMATED,2018,I-VI,1,1,1,1,1,1,Zel Skin & Laser Specialists,Edina,Minnesota,55402,44.9128264,-93.3320447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zel Skin & Laser Specialists, Edina, Minnesota 55402",Schweiger Dermatology Group - Edina,NA,"[{'name': 'Jeffrey S Dover, M.D', 'role': 'CONTACT', 'phone': '(617) 731-1600', 'email': ''}]","[{'name': 'Jeffrey S Dover, M.D.', 'affiliation': 'SkinCare Physicians', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT06015217,COMPLETED,26.0,ACTUAL,2024,All,1,1,1,1,1,1,Young Skin MD,Coral Springs,Florida,33067,26.2866176,-80.2327269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Young Skin MD, Coral Springs, Florida 33067","Young Skin MD - Pediatric Dermatology, Dr. Latanya Benjamin",PHASE4,[],"[{'name': 'Latanya Benjamin', 'affiliation': 'Young Skin', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT02217228,COMPLETED,394.0,ACTUAL,2017,"I, II, III",1,1,1,0,0,0,Yardley Dermatology Associates,Yardley,Pennsylvania,19067,40.2197545,-74.8815908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yardley Dermatology Associates, Yardley, Pennsylvania 19067",Yardley Dermatology Associates,NA,[],[]
NCT02668536,COMPLETED,13.0,ACTUAL,2018,All,1,1,1,1,1,1,Yale University,New Haven,Connecticut,06511,41.3163244,-72.92234309999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yale University, New Haven, Connecticut 06511",Yale University,PHASE1,[],"[{'name': 'Michael Girardi, MD, FAAD', 'affiliation': 'Yale University', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Mark Saltzman, PhD', 'affiliation': 'Yale University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05736224,COMPLETED,30.0,ACTUAL,2024,"I, II, III",1,1,1,0,0,0,Yale School of Medicine,New Haven,Connecticut,06511,41.30323,-72.9338698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yale School of Medicine, New Haven, Connecticut 06511",Yale School of Medicine,PHASE1,[],"[{'name': 'Michael Girardi, MD, FAAD', 'affiliation': 'Evans Professor of Dermatology; Director, Residency Program, Dermatology', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT07155239,RECRUITING,30.0,ESTIMATED,2025,All,1,1,1,1,1,1,Wynn Medical Center Rheumatology/Dermatology,Rosemead,California,91770,34.080651,-118.070466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wynn Medical Center Rheumatology/Dermatology, Rosemead, California 91770",Wynn Medical Center,PHASE1,"[{'name': 'Molynna Nguyen Clinical Research Manager, BS, MA', 'role': 'CONTACT', 'phone': '626 316 8287', 'email': 'molynna.nguyen@wynnmedcenter.com'}, {'name': 'Huynh W Tran MD CEO/Founder, MD FACP', 'role': 'CONTACT', 'phone': '', 'email': 'huynh.tran@wynnmedcenter.com'}]","[{'name': 'Huynh Wynn Tran CEO/Founder, MD FACP', 'affiliation': 'Wynn Medical Center Research and Education Institute', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Molynna Nguyen Clinical Research Manager, BS', 'affiliation': 'Wynn Medical Center Research and Education Institute', 'role': 'STUDY_DIRECTOR'}]"
NCT06312813,RECRUITING,48.0,ESTIMATED,2025,I,1,0,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,PHASE2,"[{'name': 'Manager Clinical Research Operations', 'role': 'CONTACT', 'phone': '(937)-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]",[]
NCT04520217,RECRUITING,40.0,ESTIMATED,2025,All,1,1,1,1,1,1,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,PHASE1,"[{'name': 'Manager Clinical Research Operations', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}, {'name': 'Regulatory Specialist', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]","[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05688904,RECRUITING,24.0,ESTIMATED,2024,I-III,1,1,1,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,PHASE1,"[{'name': 'Manager, Clinical Research Operations', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}, {'name': 'Regulatory Specialist', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]","[{'name': 'Craig Rohan, MD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05287724,COMPLETED,20.0,ACTUAL,2024,All,1,1,1,1,1,1,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,EARLY_PHASE1,[],"[{'name': 'Craig Rohan, MD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
