nctid,"search_query","facility",state,city,zip,latitude,longitude
NCT00947219,"Zoe Draelos, M.D., High Point, North Carolina 27262","Zoe Draelos, M.D.",North Carolina,High Point,27262,,
NCT06420804,"ZIIP Beauty, Pleasant Hill, California 94523",ZIIP Beauty,California,Pleasant Hill,94523,,
NCT06477172,"Ziering Medical, West Hollywood, California 90069",Ziering Medical,California,West Hollywood,90069,,
NCT03415685,"Zena Medical, Newport Beach, California 92660",Zena Medical,California,Newport Beach,92660,,
NCT01176448,"Zel Skin and Laser, Edina, Minnesota 55424",Zel Skin and Laser,Minnesota,Edina,55424,,
NCT01491620,"Zel Skin and Laser Specialists, Edina, Minnesota 55424",Zel Skin and Laser Specialists,Minnesota,Edina,55424,,
NCT02468453,"Zel Skin & Laser Specialists, Edina, Minnesota 55424",Zel Skin & Laser Specialists,Minnesota,Edina,55424,,
NCT02700152,"Zel Skin & Laser Specialists, Edina, Minnesota 55402",Zel Skin & Laser Specialists,Minnesota,Edina,55402,,
NCT06015217,"Young Skin MD, Coral Springs, Florida 33067",Young Skin MD,Florida,Coral Springs,33067,,
NCT02217228,"Yardley Dermatology Associates, Yardley, Pennsylvania 19067",Yardley Dermatology Associates,Pennsylvania,Yardley,19067,,
NCT02668536,"Yale University, New Haven, Connecticut 06511","Yale University",Connecticut,New Haven,06511,,
NCT05736224,"Yale School of Medicine, New Haven, Connecticut 06511",Yale School of Medicine,Connecticut,New Haven,06511,,
NCT07155239,"Wynn Medical Center Rheumatology/Dermatology, Rosemead, California 91770","Wynn Medical Center Rheumatology/Dermatology",California,Rosemead,91770,,
NCT03643744,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT05287724,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT04560647,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT03960125,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT04520217,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT04122456,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT03932162,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT05688904,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT06312813,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT06428721,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
NCT05734235,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,Ohio,Fairborn,45324,,
