nctId,status,enrollment,enrollment_type,extracted_score,Type_I,Type_II,Type_III,Type_IV,Type_V,Type_VI,facility,city,state,zip,latitude,longitude,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Black_or_African_American,Race_White,Race_More_than_one_race,Race_Unknown_or_Not_Reported
NCT01940445,COMPLETED,17,ACTUAL,II-V,0,1,1,1,1,0,"Dermatology, Laser, and Vein Specialists of the Carolinas, PLLC",Charlotte,North Carolina,28207,35.22709,-80.84313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06376110,RECRUITING,10,ESTIMATED,All,1,1,1,1,1,1,"Austin Institute for Clinical Research, Inc.",Pflugerville,Texas,78660,30.43937,-97.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02642627,COMPLETED,42,ACTUAL,All,1,1,1,1,1,1,Call Suneva for Info,Houston,Texas,77494,29.76328,-95.36327,1.0,2.0,0.0,10.0,26.0,3.0,0.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,The Vitiligo and Pigmentation Institute of Southern California,Los Angeles,California,90036,34.05223,-118.24368,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Desert Dermatology Medical Associates,Rancho Mirage,California,92270,33.73974,-116.41279,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Center for Dermatology and Dermatologic Surgery,Washington D.C.,District of Columbia,20037,38.89511,-77.03637,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Atlanta Dermatology Vein & Research Center,Alpharetta,Georgia,30022,34.07538,-84.29409,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Denova Research,Chicago,Illinois,60611,41.85003,-87.65005,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,DuPage Medical Group Clinical Research,Naperville,Illinois,60563,41.78586,-88.14729,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Callender Center for Clinical Research,Mitchellville,Maryland,20721,38.92,-76.808,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,The Boyd Gillard Institute of Aesthetic & Dermatology Surgery,Ypsilanti,Michigan,48197,42.24115,-83.61299,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Image Dermatology,Montclair,New Jersey,07042,40.82593,-74.20903,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Susan Taylor,Philadelphia,Pennsylvania,19107,39.95238,-75.16362,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT00891774,COMPLETED,172,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Tennessee Clinical Research,Nashville,Tennessee,37215,36.16589,-86.78444,4.0,6.0,0.0,135.0,17.0,0.0,10.0
NCT02904798,COMPLETED,22,ACTUAL,III-VI,0,0,1,1,1,1,Henry Ford Hospital,Detroit,Michigan,48202,42.33143,-83.04575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03243617,COMPLETED,26,ACTUAL,I-VI,1,1,1,1,1,1,Skincare Physicians,Chestnut Hill,Massachusetts,02467,42.33065,-71.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02663921,COMPLETED,8,ACTUAL,I-VI,1,1,1,1,1,1,New York University School of Medicine,New York,New York,10016,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04586816,COMPLETED,19,ACTUAL,I-IV,1,1,1,1,0,0,Integrative Skin Science and Research,Sacramento,California,95815,38.58157,-121.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03125655,RECRUITING,13,ESTIMATED,"I, II, III, IV, V, VI",1,1,1,1,1,1,The Kirklin Clinic,Birmingham,Alabama,35294,33.52066,-86.80249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06879626,RECRUITING,60,ESTIMATED,II-IV,0,1,1,1,0,0,UCLA Center for Human Nutrition,Los Angeles,California,90095,34.05223,-118.24368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00941278,COMPLETED,30,ESTIMATED,I-VI,1,1,1,1,1,1,International Dermatology Research,Miami,Florida,33144,25.77427,-80.19366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00941278,COMPLETED,30,ESTIMATED,I-VI,1,1,1,1,1,1,Mount Sinai School of Medicine,New York,New York,10029,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02872220,COMPLETED,56,ACTUAL,"I, IV",1,0,0,1,0,0,N/A,Pinellas Park,Florida,33781,27.8428,-82.69954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00964366,COMPLETED,53,ACTUAL,"I, II, III",1,1,1,0,0,0,cyberDERM,Broomall,Pennsylvania,19008,39.9815,-75.35658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01842802,COMPLETED,8,ACTUAL,I-III,1,1,1,0,0,0,Aesthetic Pavilion,Staten Island,New York,10306,40.56233,-74.13986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02695303,COMPLETED,10,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02815202,COMPLETED,5,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04749459,COMPLETED,14,ACTUAL,"I, II, III",1,1,1,0,0,0,GSK Investigational Site,Fairfield,New Jersey,07004,40.88371,-74.30598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06420804,COMPLETED,50,ACTUAL,All,1,1,1,1,1,1,ZIIP Beauty,Pleasant Hill,California,94523,37.94798,-122.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02954315,COMPLETED,31,ACTUAL,"I, II",1,1,0,0,0,0,"UC Davis Department of Dermatology, Clinical Trials Unit",Sacramento,California,95816,38.58157,-121.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02803320,COMPLETED,107,ACTUAL,I-VI,1,1,1,1,1,1,N/A,St. Petersburg,Florida,33714,27.77086,-82.67927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03301870,COMPLETED,36,ACTUAL,I-IV,1,1,1,1,0,0,"Bio-Kinetic Clinical Applications, LLC",Springfield,Missouri,65802,37.21533,-93.29824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02877511,COMPLETED,102,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,N/A,St. Petersburg,Florida,33714,27.77086,-82.67927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04103164,SUSPENDED,10,ESTIMATED,I-VI,1,1,1,1,1,1,Massachusetts General Hospital,Boston,Massachusetts,02114,42.35843,-71.05977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02930772,COMPLETED,11,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02635880,COMPLETED,32,ACTUAL,I-III,1,1,1,0,0,0,Cutera Research Center,Brisbane,California,94005,37.68077,-122.39997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05493280,COMPLETED,20,ACTUAL,"V, VI",0,0,0,0,1,1,UT Southwestern Medical Center- Dept of Plastic Surgery,Dallas,Texas,75390,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01967277,COMPLETED,44,ACTUAL,All,1,1,1,1,1,1,Bodian Dermatology,Great Neck,New York,11021,40.80066,-73.72846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01967277,COMPLETED,44,ACTUAL,All,1,1,1,1,1,1,Center for Aesthetic Dermatology,Woodbury,New York,11797,41.36454,-74.10598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03242577,COMPLETED,10,ACTUAL,"I, II, III",1,1,1,0,0,0,Reliance Clinical Testing Services,Irving,Texas,75062,32.81402,-96.94889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02822300,COMPLETED,10,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04032977,COMPLETED,158,ACTUAL,All,1,1,1,1,1,1,Tennessee Clinical Research Center,Nashville,Tennessee,37215,36.16589,-86.78444,0.0,2.0,0.0,54.0,252.0,4.0,4.0
NCT02643628,COMPLETED,45,ACTUAL,All,1,1,1,1,1,1,Call Suneva for Info,Nashville,Tennessee,37203,36.16589,-86.78444,0.0,8.0,4.0,4.0,68.0,4.0,0.0
NCT06023303,COMPLETED,8,ACTUAL,I-VI,1,1,1,1,1,1,"Cynosure, Inc",Westford,Massachusetts,01886,42.57926,-71.43784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03243981,COMPLETED,5,ACTUAL,II-III,0,1,1,0,0,0,Stanford University,Redwood City,California,94063,37.48522,-122.23635,0.0,0.0,0.0,0.0,5.0,0.0,0.0
NCT01335581,COMPLETED,18,ACTUAL,III-VI,0,0,1,1,1,1,New York Laser and Skin Care,New York,New York,10028,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Roseville Facial Plastic Surgery,Roseville,California,95661,38.75212,-121.28801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,DeNova Research,Chicago,Illinois,60611,41.85003,-87.65005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Skin Care Physicians,Chestnut Hill,Massachusetts,02467,42.33065,-71.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Laser & Skin Surgery Center of NY,New York,New York,10016,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Nashville Center for Laser and Facial Surgery,Nashville,Tennessee,37203,36.16589,-86.78444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01950065,COMPLETED,85,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Dallas Plastic Surgery Institute,Dallas,Texas,75231,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00555646,TERMINATED,6,ACTUAL,I-VI,1,1,1,1,1,1,Mount Sinai School of Medicine,New York,New York,10029,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06091215,COMPLETED,15,ACTUAL,I-IV,1,1,1,1,0,0,University of Texas Southwestern Medical Center,Dallas,Texas,75390,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06651476,RECRUITING,36,ESTIMATED,I-III,1,1,1,0,0,0,Atrium Health Wake Forest Baptist Medical Center,Winston-Salem,North Carolina,27157,36.09986,-80.24422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,Cutera Research Center,Brisbane,California,94005,37.68077,-122.39997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,Blackhawk Plastic Surgery,Danville,California,94506,37.82159,-121.99996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,"Center for Dermatology Clinical Research, Inc",Fremont,California,94538,37.54827,-121.98857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,Laser and Skin Surgery Center of Northern CA,Sacramento,California,95816,38.58157,-121.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,Kwan Dermatology,San Francisco,California,94108,37.77493,-122.41942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,Skin Research Institute,Coral Gables,Florida,33146,25.72149,-80.26838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04695691,COMPLETED,104,ACTUAL,I-VI,1,1,1,1,1,1,"Skin Laser & Surgery Specialists, a Division of Schweiger Dermatology",Hackensack,New Jersey,07601,40.88593,-74.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
